City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,taksimo,56.3444,114.8794,-15.7,91,100,0.06,RU,1701656576
173,cockburn town,21.4612,-71.1419,26.37,67,7,6.4,TC,1701656709
174,constitucion,-35.3333,-72.4167,12.53,73,0,5.74,CL,1701656710
175,margaret river,-33.95,115.0667,19.59,64,100,4.64,AU,1701656710
176,montrose,38.4166,-108.2673,-1.39,81,86,2.91,US,1701656710
177,rawson,-43.3002,-65.1023,11.54,51,0,8.07,AR,1701656710
178,abalak,58.1286,68.5944,-23.54,96,17,1.38,RU,1701656710
179,tchintabaraden,15.8969,5.7985,21.16,12,25,3.46,NE,1701656711
180,majene,-3.5403,118.9707,28.64,74,90,1.51,ID,1701656711
181,saint-philippe,-21.3585,55.7679,20.77,71,45,1.71,RE,1701656711
182,lebu,-37.6167,-73.65,11.36,81,0,10.57,CL,1701656711
183,eskisehir,39.7767,30.5206,1.95,100,54,0.0,TR,1701656590
184,beykonak,36.3257,30.303,18.07,76,77,1.7,TR,1701656712
185,al ghayzah,16.2079,52.176,23.61,67,10,2.72,YE,1701656712
186,tralee,52.2704,-9.7026,1.99,92,48,4.26,IE,1701656510
187,floro,61.5996,5.0328,-1.02,69,37,3.09,NO,1701656712
188,soc trang,9.6033,105.98,28.1,75,99,3.96,VN,1701656712
189,anjozorobe,-18.4,47.8667,15.07,92,100,1.98,MG,1701656712
190,nizhneudinsk,54.9076,99.0276,-3.63,90,100,1.59,RU,1701656413
191,mili,6.0815,171.735,27.97,79,77,8.01,MH,1701656713
192,jinghong,21.991,100.7341,20.57,92,73,0.46,CN,1701656713
193,tucupita,9.0622,-62.051,23.25,94,13,2.0,VE,1701656713
194,bulayevo,54.9056,70.4439,-17.19,94,100,3.64,KZ,1701656713
195,laguna,38.421,-121.4238,15.53,79,0,1.54,US,1701656713
196,bethanie,-26.4833,17.15,21.41,27,0,1.32,NA,1701656713
197,al burayqah,30.4062,19.5739,19.72,73,55,5.78,LY,1701656714
198,calp,38.6447,0.0445,13.14,61,83,4.66,ES,1701656714
199,ergani,38.2653,39.7621,7.48,63,100,0.66,TR,1701656714
200,manismata,-2.4667,111.0333,29.38,72,97,1.1,ID,1701656714
201,codrington,-38.2667,141.9667,29.27,24,78,4.97,AU,1701656714
202,caibarien,22.5206,-79.4669,22.62,87,20,4.21,CU,1701656681
203,brookings,44.3114,-96.7984,-2.71,97,100,3.09,US,1701656715
204,st. john's,47.5649,-52.7093,0.64,77,75,2.57,CA,1701656587
205,katabu,-4.9333,122.5167,33.14,51,91,0.66,ID,1701656715
206,castillos,-34.1667,-53.8333,16.15,48,100,6.01,UY,1701656715
207,ulladulla,-35.35,150.4667,26.54,59,46,4.73,AU,1701656716
208,aleksin,54.51,37.08,-6.54,95,100,5.78,RU,1701656716
209,kerikeri,-35.2268,173.9474,24.95,84,100,0.45,NZ,1701656716
210,valozhyn,54.0909,26.5225,-5.78,96,99,4.26,BY,1701656716
211,lethem,3.3803,-59.7968,27.98,57,17,3.51,GY,1701656716
212,kourou,5.1552,-52.6478,25.03,84,51,3.65,GF,1701656717
213,mahdia,35.5047,11.0622,12.97,59,1,7.35,TN,1701656717
214,udachny,66.4167,112.4,-42.59,100,79,1.56,RU,1701656717
215,ibipeba,-11.6408,-42.0111,23.74,47,59,0.47,BR,1701656717
216,luderitz,-26.6481,15.1594,15.68,74,0,8.45,NA,1701656717
217,port douglas,-16.4833,145.4667,29.37,60,99,3.01,AU,1701656718
218,magadan,59.5667,150.8,-17.97,83,77,4.26,RU,1701656718
219,kununurra,-15.7667,128.7333,37.99,39,53,3.09,AU,1701656718
220,salina,38.8403,-97.6114,5.58,71,0,8.75,US,1701656667
221,malakal,9.5334,31.6605,25.27,34,13,1.12,SS,1701656718
222,shiguai,40.7058,110.2856,-1.65,37,3,0.94,CN,1701656718
223,dudinka,69.4058,86.1778,-33.63,94,16,3.1,RU,1701656719
224,viedma,-40.8135,-62.9967,8.98,56,0,3.69,AR,1701656455
225,zhezqazghan,47.7833,67.7667,-6.68,93,40,2.0,KZ,1701656719
226,aasiaat,68.7098,-52.8699,-11.07,84,100,1.92,GL,1701656719
227,chabahar,25.2919,60.643,24.14,69,1,2.03,IR,1701656719
228,crane,31.3974,-102.3501,14.38,27,0,6.29,US,1701656719
229,zdolbuniv,50.5206,26.2425,-3.95,89,96,5.94,UA,1701656720
230,bathsheba,13.2167,-59.5167,27.34,78,20,6.17,BB,1701656720
231,arno,60.1167,18.6333,-1.23,96,99,4.95,SE,1701656720
232,yokadouma,3.5167,15.05,20.31,97,100,0.35,CM,1701656720
233,maine soroa,13.2114,12.0241,22.06,15,28,4.5,NE,1701656720
234,casas grandes,30.3667,-107.95,9.28,25,4,0.62,MX,1701656721
235,okha,53.5739,142.9478,-7.95,90,100,5.71,RU,1701656721
236,sena madureira,-9.0656,-68.6569,24.52,89,69,1.19,BR,1701656721
237,midvagur,62.0511,-7.1939,-0.54,80,34,0.0,FO,1701656721
238,tarko-sale,64.9225,77.785,-30.79,93,6,5.29,RU,1701656721
239,praia da vitoria,38.7333,-27.0667,12.64,87,0,2.35,PT,1701656721
240,okhotsk,59.3833,143.3,-31.46,84,34,6.42,RU,1701656722
241,la ronge,55.1001,-105.2842,-13.86,85,0,1.03,CA,1701656722
242,egersund,58.4513,5.9997,0.05,83,100,3.85,NO,1701656722
243,iskushuban,10.2837,50.23,20.89,73,44,3.63,SO,1701656722
244,afaahiti,-17.75,-149.2833,30.93,84,100,10.21,PF,1701656722
245,hun,29.1268,15.9477,13.42,82,1,3.73,LY,1701656723
246,sabang,5.8933,95.3214,27.1,78,99,2.04,ID,1701656723
247,qamdo,31.1667,97.2333,-5.97,45,92,0.16,CN,1701656723
248,embarcacion,-23.209,-64.096,19.05,76,100,4.31,AR,1701656723
249,lihue,21.9789,-159.3672,26.58,74,0,5.14,US,1701656723
250,sretensk,52.2453,117.7093,-12.64,90,63,0.94,RU,1701656723
251,minbu,20.1833,94.8833,23.92,70,59,2.05,MM,1701656724
252,guerrero negro,27.9769,-114.0611,18.84,67,0,5.99,MX,1701656724
253,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1701656724
254,oranjemund,-28.55,16.4333,15.25,92,6,5.21,NA,1701656724
255,temerluh,3.4506,102.4176,27.77,94,93,0.45,MY,1701656724
256,vallenar,-28.5708,-70.7581,21.64,45,0,1.31,CL,1701656724
257,cabedelo,-6.9811,-34.8339,27.37,85,94,4.71,BR,1701656505
258,ad dabbah,18.05,30.95,21.65,28,8,2.98,SD,1701656725
259,ixtapa,20.7,-105.2,25.57,73,100,1.03,MX,1701656725
260,yaren,-0.5472,166.916,27.26,81,84,3.67,NR,1701656725
261,susuman,62.7833,148.1667,-33.0,99,100,0.71,RU,1701656725
262,san patricio,28.017,-97.5169,17.92,42,100,2.56,US,1701656725
263,teapa,17.55,-92.95,25.87,96,41,0.84,MX,1701656725
264,bari,41.1177,16.8512,9.54,80,0,3.09,IT,1701656726
265,manaure,11.7751,-72.4445,26.87,78,5,7.15,CO,1701656726
266,venlo,51.3667,6.1667,1.4,90,100,0.89,NL,1701656726
267,chonchi,-42.6128,-73.8092,8.56,95,3,1.58,CL,1701656726
268,chivilcoy,-34.8957,-60.0167,12.78,52,28,2.6,AR,1701656726
269,salym,60.0625,71.4789,-24.23,90,12,2.61,RU,1701656727
270,fortuna,40.5982,-124.1573,14.81,92,100,6.69,US,1701656435
271,hammerfest,70.6634,23.6821,1.25,86,100,5.66,NO,1701656727
272,katsuren-haebaru,26.3369,127.8719,21.43,95,100,8.75,JP,1701656727
